kategori;category;entity;provinsi;province;kabupaten/kota
makam;grave;Makam Aulia Male TaIlayabe;Gorontalo;Gorontalo;Kota Gorontalo
makam;grave;Makam Pangeran Jayakarta;Jakarta;Jakarta;Jakarta Timur
makam;grave;Makam Sultan Thaha;Jambi;Jambi;Kabupaten Tebo
makam;grave;Makam Karl Adolf Bosscha;Jawa Barat;West Java;Kabupaten Bandung Barat
makam;grave;Makam Sunan Gunung Jati;Jawa Barat;West Java;Kabupaten Cirebon
makam;grave;Petilasan Cimandung;Jawa Barat;West Java;Kabupaten Cirebon
makam;grave;Balong Keramat Tuk;Jawa Barat;West Java;Kabupaten Cirebon
makam;grave;Makam keramat Megu;Jawa Barat;West Java;Kabupaten Cirebon
makam;grave;Makam Nyi Mas Gandasari;Jawa Barat;West Java;Kabupaten Cirebon
makam;grave;Makam Syekh Magelung Sakti;Jawa Barat;West Java;Kabupaten Cirebon
makam;grave;Makam Talun;Jawa Barat;West Java;Kabupaten Cirebon
makam;grave;Makam Buyut Trusmi;Jawa Barat;West Java;Kabupaten Cirebon
makam;grave;Makam Godog;Jawa Barat;West Java;Kabupaten Garut
makam;grave;Makam Cinunuk Hilir;Jawa Barat;West Java;Kabupaten Garut
makam;grave;Makam Pangeran Muhammad;Jawa Barat;West Java;Kabupaten Majalengka
makam;grave;Makam Siti Armilah;Jawa Barat;West Java;Kabupaten Majalengka
makam;grave;Makam Sunan Parung;Jawa Barat;West Java;Kabupaten Majalengka
makam;grave;Makam Baing Yusuf;Jawa Barat;West Java;Kabupaten Purwakarta
makam;grave;Makam Mama Sempur;Jawa Barat;West Java;Kabupaten Purwakarta
makam;grave;Makam Raden Aria Wangsa Goparana;Jawa Barat;West Java;Kabupaten Subang
makam;grave;Makam Embah Tumpang;Jawa Barat;West Java;Kota Cimahi
makam;grave;Makam Sunan Kalijaga;Jawa Tengah;Central Java;Kabupaten Demak
makam;grave;Makam Raden Patah;Jawa Tengah;Central Java;Kabupaten Demak
makam;grave;Makam Ki Ageng Selo;Jawa Tengah;Central Java;Kabupaten Grobogan
makam;grave;Makam Ki Ageng Tarub;Jawa Tengah;Central Java;Kabupaten Grobogan
makam;grave;Makam Ki Ageng Getas Pendowo;Jawa Tengah;Central Java;Kabupaten Grobogan
makam;grave;Makam Syekh Siti Jenar;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Mbah Roboyo;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Datuk Gunardi;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Habib Ali;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Syeh Abu Bakar;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Ki Gede;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Syeh Amir Hasan;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Mbah Pakisaji;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Ronggo Kusumo;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Mbah Datuk Subuh;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Habib Sodiq;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;KH Noor Ahmad SS;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Habib Sodiq dan KH Noor Ahmad SS;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Assayyid Thoyyib Thohir;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Syaikh Syamsuri;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Assayyid Thoyyib Thohir dan Syaikh Syamsuri;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Pangeran Syarif;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Mbah Jenggolo;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Pangeran Syarif dan Mbah Jenggolo;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Sunan Hadirin;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Ratu Kalinyamat serta Raden Abdul Jalil;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Sunan Hadirin dan Ratu Kalinyamat serta Raden Abdul Jalil;Jawa Tengah;Central Java;Kabupaten Jepara
makam;grave;Makam Sunan Bromo;Jawa Tengah;Central Java;Kabupaten Kendal
makam;grave;Makam Kyai Mandurorejo Protomulyo Kaliwungu Selatan Kabupaten Kendal;Jawa Tengah;Central Java;Kabupaten Kendal
makam;grave;Makam Wali Gembyang;Jawa Tengah;Central Java;Kabupaten Kendal
makam;grave;Makam Wali Joko;Jawa Tengah;Central Java;Kabupaten Kendal
makam;grave;Makam Wali Hadi;Jawa Tengah;Central Java;Kabupaten Kendal
makam;grave;Makam Pangeran Djoeminah;Jawa Tengah;Central Java;Kabupaten Kendal
makam;grave;Makam Tumenggung Mertowijoyo;Jawa Tengah;Central Java;Kabupaten Kendal
makam;grave;Makam Sunan Abinowo;Jawa Tengah;Central Java;Kabupaten Kendal
makam;grave;Makam Kyai Asyari;Jawa Tengah;Central Java;Kabupaten Kendal
makam;grave;Makam Petilasan Krapyak;Jawa Tengah;Central Java;Kabupaten Kendal
makam;grave;Makam Pengeran Benowo;Jawa Tengah;Central Java;Kabupaten Kendal
makam;grave;Makam Sunan Kudus;Jawa Tengah;Central Java;Kabupaten Kudus
makam;grave;Makam Sunan Muria;Jawa Tengah;Central Java;Kabupaten Kudus
makam;grave;Makam Sunan Kedu;Jawa Tengah;Central Java;Kabupaten Kudus
makam;grave;Makam Syeh Syadzili;Jawa Tengah;Central Java;Kabupaten Kudus
makam;grave;Makam Kyai Telingsing;Jawa Tengah;Central Java;Kabupaten Kudus
makam;grave;Makam Keluarga Trah Tjondronegoro III;Jawa Tengah;Central Java;Kabupaten Kudus
makam;grave;Makam Mbah Tanggulangin;Jawa Tengah;Central Java;Kabupaten Kudus
makam;grave;Makam Sedo Mukti;Jawa Tengah;Central Java;Kabupaten Kudus
makam;grave;Makam Sosro Kartono  para Bupati;Jawa Tengah;Central Java;Kabupaten Kudus
makam;grave;Makam Nyai Ageng Ngerang;Jawa Tengah;Central Java;Kabupaten Pati
makam;grave;Makam Syeh Jangkung;Jawa Tengah;Central Java;Kabupaten Pati
makam;grave;Makam Mbah Tabek Merto;Jawa Tengah;Central Java;Kabupaten Pati
makam;grave;Makam Syeh Ahmad Mutamakkin;Jawa Tengah;Central Java;Kabupaten Pati
makam;grave;Makam Sunan Ngerang;Jawa Tengah;Central Java;Kabupaten Pati
makam;grave;makam Sunan Makhdum Pimpinan Walisongo I;Jawa Tengah;Central Java;Kabupaten Pati
makam;grave;Makam Syeh Ronggo Kusumo;Jawa Tengah;Central Java;Kabupaten Pati
makam;grave;Makam Sunan Prawoto;Jawa Tengah;Central Java;Kabupaten Pati
makam;grave;Makam Bandung Bondowoso Ratu Pengging;Jawa Tengah;Central Java;Kabupaten Pati
makam;grave;Makam Prabu Angling Dharma;Jawa Tengah;Central Java;Kabupaten Pati
makam;grave;Makam Mahapatih Batik Madrim;Jawa Tengah;Central Java;Kabupaten Pati
makam;grave;Makam Ki Ageng Balak;Jawa Tengah;Central Java;Kabupaten Sukoharjo
makam;grave;Makam Ki Ageng Sutowijoyo;Jawa Tengah;Central Java;Kabupaten Sukoharjo
makam;grave;Makam Ki Ageng Purwoto Sidik;Jawa Tengah;Central Java;Kabupaten Sukoharjo
makam;grave;Makam Ki Ageng Trenggonokusumo;Jawa Tengah;Central Java;Kabupaten Temanggung
makam;grave;Makam Ssayyid;Jawa Tengah;Central Java;Kabupaten Temanggung
makam;grave;Makam Ki Ageng Makukuhan;Jawa Tengah;Central Java;Kabupaten Temanggung
makam;grave;Makam Syaikhona Muhammad Kholil;Jawa Timur;East Java;Kabupaten Bangkalan
makam;grave;Makam Bujuk Cendana;Jawa Timur;East Java;Kabupaten Bangkalan
makam;grave;Makam raja-raja Bangkalan;Jawa Timur;East Java;Kabupaten Bangkalan
makam;grave;Makam Wali Kidangan;Jawa Timur;East Java;Kabupaten Bojonegoro
makam;grave;Makam Buyut Dalem;Jawa Timur;East Java;Kabupaten Bojonegoro
makam;grave;Makam Mbah Malang Negoro;Jawa Timur;East Java;Kabupaten Bojonegoro
makam;grave;Makam Maulana Malik Ibrahim;Jawa Timur;East Java;Kabupaten Gresik
makam;grave;Makam Sunan Giri;Jawa Timur;East Java;Kabupaten Gresik
makam;grave;Makam Sunan Prapen;Jawa Timur;East Java;Kabupaten Gresik
makam;grave;Makam Fatimah binti Maimun;Jawa Timur;East Java;Kabupaten Gresik
makam;grave;Makam Kanjeng Sepuh;Jawa Timur;East Java;Kabupaten Gresik
makam;grave;Petilasan Sunan Kalijaga;Jawa Timur;East Java;Kabupaten Gresik
makam;grave;Makam Tan Malaka;Jawa Timur;East Java;Kabupaten Kediri
makam;grave;Makam Gus Miek;Jawa Timur;East Java;Kabupaten Kediri
makam;grave;Makam Sunan Drajat;Jawa Timur;East Java;Kabupaten Lamongan
makam;grave;Makam Sunan Sendang Duwur;Jawa Timur;East Java;Kabupaten Lamongan
makam;grave;Makam Sunan Lamongan;Jawa Timur;East Java;Kabupaten Lamongan
makam;grave;Makam Dewi Sekardadu;Jawa Timur;East Java;Kabupaten Lamongan
makam;grave;Makam Dewi Andongsaroli;Jawa Timur;East Java;Kabupaten Lamongan
makam;grave;Makam  Masjid Kuno Taman;Jawa Timur;East Java;Kabupaten Madiun
makam;grave;Makam  Masjid Kuno Kuncen;Jawa Timur;East Java;Kabupaten Madiun
makam;grave;Makam Mbah Raden;Jawa Timur;East Java;Kabupaten Nganjuk
makam;grave;Makam Kanjeng Jimat;Jawa Timur;East Java;Kabupaten Nganjuk
makam;grave;Makam Batuampar;Jawa Timur;East Java;Kabupaten Pamekasan
makam;grave;Makam Kyai Ratoh Sumber Anyar;Jawa Timur;East Java;Kabupaten Pamekasan
makam;grave;Kuburan Madegan;Jawa Timur;East Java;Kabupaten Sampang
makam;grave;Pasarean Syech Maulana Ishaq;Jawa Timur;East Java;Kabupaten Situbondo
makam;grave;Pasarean Agung Saifudin;Jawa Timur;East Java;Kabupaten Situbondo
makam;grave;Makam Raden Tjondrokusumo;Jawa Timur;East Java;Kabupaten Situbondo
makam;grave;Petilasan Syekh Maulana Ishaq;Jawa Timur;East Java;Kabupaten Situbondo
makam;grave;Makam Ke Pate Alos;Jawa Timur;East Java;Kabupaten Situbondo
makam;grave;Makam Sunan Bonang;Jawa Timur;East Java;Kabupaten Tuban
makam;grave;Makam Syeh Maulana Ibrahim Asmaraqandi;Jawa Timur;East Java;Kabupaten Tuban
makam;grave;Makam Sunan Bejagung Lor;Jawa Timur;East Java;Kabupaten Tuban
makam;grave;Makam Sunan Bejagung Kidul;Jawa Timur;East Java;Kabupaten Tuban
makam;grave;Makam Syekh Achmad Cholil;Jawa Timur;East Java;Kabupaten Tuban
makam;grave;Makam Sunan Gesing;Jawa Timur;East Java;Kabupaten Tuban
makam;grave;Makam Syekh Subakir;Jawa Timur;East Java;Kabupaten Tuban
makam;grave;Makam Kuno Mbah Wassil;Jawa Timur;East Java;Kota Kediri
makam;grave;Makam Sunan Ampel;Jawa Timur;East Java;Kota Surabaya
makam;grave;Makam Datu Kayan;Kalimantan Selatan;South Borneo;Kabupaten Barito Kuala
makam;grave;Makam Datu Aminin;Kalimantan Selatan;South Borneo;Kabupaten Barito Kuala
makam;grave;Makam Pangeran Agung alias Adji Pati;Kalimantan Selatan;South Borneo;Kabupaten Tanah Bumbu
makam;grave;Komplek Makam Sultan Suriansyah;Kalimantan Selatan;South Borneo;Kota Banjarmasin
makam;grave;Komplek Makam Pangeran Antasari;Kalimantan Selatan;South Borneo;Kota Banjarmasin
makam;grave;Makam Raja-Raja Kesultanan Gunung Tabur;Kalimantan Timur;East Kalimantan;Kabupaten Berau
makam;grave;Kompleks makam raja-raja;Kalimantan Timur;East Kalimantan;Kabupaten Paser
makam;grave;Makam Tentara Jepang;Kalimantan Utara;North Kalimantan;Kota Tarakan
makam;grave;Makam Belanda;Kepulauan Bangka Belitung;Bangka Belitung Islands;Kota Pangkal Pinang
makam;grave;Kompleks Makam Temenggung Jamaludin;Kepulauan Riau;Riau islands;Kabupaten Lingga
makam;grave;Datuk Kaya Montel;Kepulauan Riau;Riau islands;Kabupaten Lingga
makam;grave;Kompleks Makam Temenggung Jamaludin dan Datuk Kaya Montel;Kepulauan Riau;Riau islands;Kabupaten Lingga
makam;grave;Makam Megat Kuning;Kepulauan Riau;Riau islands;Kabupaten Lingga
makam;grave;Makam KH Ghalib Pringsewu Barat Pringsewu;Lampung;Lampung;Kabupaten Pringsewu
makam;grave;Makam Raja-Raja Taebenu;Nusa Tenggara Timur;East Nusa Tenggara;Kota Kupang
makam;grave;Makam Mahmud Syah;Riau;Riau;Kabupaten Pelalawan
makam;grave;Komplek Makam Raja-Raja Pelalawan;Riau;Riau;Kabupaten Pelalawan
makam;grave;Makam Panglima Kudin;Riau;Riau;Kabupaten Pelalawan
makam;grave;Makam Raja-Raja Rambah;Riau;Riau;Kabupaten Rokan Hulu
makam;grave;Makam wae Tenri Leleang;Sulawesi Selatan;South Sulawesi;Kabupaten Barru
makam;grave;Makam Petta Pallaselasee;Sulawesi Selatan;South Sulawesi;Kabupaten Barru
makam;grave;Makam We Pancai Tana;Sulawesi Selatan;South Sulawesi;Kabupaten Barru
makam;grave;Makam Lamaddusila;Sulawesi Selatan;South Sulawesi;Kabupaten Barru
makam;grave;Makam Karaeng Lipukasi;Sulawesi Selatan;South Sulawesi;Kabupaten Barru
makam;grave;Makam Sultan Hasanuddin;Sulawesi Selatan;South Sulawesi;Kabupaten Gowa
makam;grave;Makam Arung Palakka;Sulawesi Selatan;South Sulawesi;Kabupaten Gowa
makam;grave;Makam Syech Yusuf;Sulawesi Selatan;South Sulawesi;Kabupaten Gowa
makam;grave;Makam PongTiku;Sulawesi Selatan;South Sulawesi;Kabupaten Toraja Utara
makam;grave;Makam Raja-Raja Tallo;Sulawesi Selatan;South Sulawesi;Kota Makassar
makam;grave;Makam pahlawan nasional Ibu Maria Walanda Maramis;Sulawesi Utara;North Sulawesi;Kabupaten Minahasa Utara
makam;grave;Makam Keramat Tanjung Lilin;Sumatera Barat;West Sumatra;Kota Payakumbuh
makam;grave;Makam Pangeran Peranpati;Sumatera Selatan;South Sumatra;Kabupaten Ogan Komering Ulu Timur
makam;grave;Makam Ratu Bagus Baginda Ali;Sumatera Selatan;South Sumatra;Kabupaten Ogan Komering Ulu Timur
makam;grave;Makam Abdullah Gelar Raden Bebas  Abdul Malik Gelar Mas Purba;Sumatera Selatan;South Sumatra;Kabupaten Ogan Komering Ulu Timur
makam;grave;Makam Mangku Yuda;Sumatera Selatan;South Sumatra;Kabupaten Ogan Komering Ulu Timur
makam;grave;Makam Muyang Tuan Raja Benar;Sumatera Selatan;South Sumatra;Kabupaten Ogan Komering Ulu Timur
makam;grave;Makam Muyang Putih;Sumatera Selatan;South Sumatra;Kabupaten Ogan Komering Ulu Timur
makam;grave;Makam Muyang Maulana Sakti;Sumatera Selatan;South Sumatra;Kabupaten Ogan Komering Ulu Timur
makam;grave;Makam Oppu Parmata Sapihak;Sumatera Utara;North Sumatra;Kabupaten Padang Lawas
makam;grave;Pekuburan Brahrang;Sumatera Utara;North Sumatra;Kota Binjai
makam;grave;Pekuburan Rambung;Sumatera Utara;North Sumatra;Kota Binjai
makam;grave;Perkuburan Kebun Lada;Sumatera Utara;North Sumatra;Kota Binjai
makam;grave;Pekuburan Marcapada;Sumatera Utara;North Sumatra;Kota Binjai
makam;grave;makam Tionghoa;Banten;Banten;Kota Tangerang
makam;grave;Makam Panglima Ratu Samban;Bengkulu;Bengkulu;Kabupaten Bengkulu Utara
makam;grave;makam Syekh Tubagus Ahmad Bakri as;Jawa Barat;West Java;Kabupaten Purwakarta
makam;grave;makam Gedong Ageng;Jawa Tengah;Central Java;Kabupaten Blora
makam;grave;makam Islam;Jawa Timur;East Java;Kabupaten Bangkalan
makam;grave;makam Syech Husen;Jawa Timur;East Java;Kabupaten Bangkalan
makam;grave;makam Anusapati;Jawa Timur;East Java;Kabupaten Malang
makam;grave;kuburan Panglima Ali;Kepulauan Bangka Belitung;Bangka Belitung Islands;Kabupaten Bangka Selatan
makam;grave;Makam Para Ulama;Aceh;Aceh;Kabupaten Pidie
makanan;food;Ayam betutu;Bali;Bali;None
makanan;food;Babi guling;Bali;Bali;None
makanan;food;Be Kokak Mekuah;Bali;Bali;None
makanan;food;Be Pasih mesambel matah;Bali;Bali;None
makanan;food;Bebek betutu;Bali;Bali;None
makanan;food;Berengkes;Bali;Bali;None
makanan;food;Grangasem;Bali;Bali;None
makanan;food;Jejeruk;Bali;Bali;None
makanan;food;Jukut Urab;Bali;Bali;None
makanan;food;Komoh;Bali;Bali;None
makanan;food;Lawar;Bali;Bali;None
makanan;food;Nasi Bubuh;Bali;Bali;None
makanan;food;Nasi Tepeng;Bali;Bali;None
makanan;food;Penyon;Bali;Bali;None
makanan;food;Sate Kablet;Bali;Bali;None
makanan;food;Sate Babi Guling;Bali;Bali;None
makanan;food;Sate Pusut;Bali;Bali;None
makanan;food;Sate Lilit;Bali;Bali;None
makanan;food;Sate pentul;Bali;Bali;None
makanan;food;Sate penyu;Bali;Bali;None
makanan;food;Sate Tusuk;Bali;Bali;None
makanan;food;Timbungan;Bali;Bali;None
makanan;food;Jukut Ares;Bali;Bali;None
makanan;food;Tum;Bali;Bali;None
makanan;food;Urutan Tabanan;Bali;Bali;None
makanan;food;Pesan Be Pasih;Bali;Bali;None
makanan;food;Bubuh Sagu;Bali;Bali;None
makanan;food;Bubuh Sumsum;Bali;Bali;None
makanan;food;Bubuh Tuak;Bali;Bali;None
makanan;food;Jaja Batun Duren;Bali;Bali;None
makanan;food;Jaja Begina;Bali;Bali;None
makanan;food;Jaja Bendu;Bali;Bali;None
makanan;food;Jaja Bikang;Bali;Bali;None
makanan;food;Jaja Engol;Bali;Bali;None
makanan;food;Jaja Lukis;Bali;Bali;None
makanan;food;Jaja Godoh;Bali;Bali;None
makanan;food;Jaja Jongkong;Bali;Bali;None
makanan;food;Jaja Ketimus;Bali;Bali;None
makanan;food;Jaja Klepon;Bali;Bali;None
makanan;food;Jaja Lak-Lak;Bali;Bali;None
makanan;food;Jaja Sumping;Bali;Bali;None
makanan;food;Jaja Tain Buati;Bali;Bali;None
makanan;food;Jaja Uli misi Tape;Bali;Bali;None
makanan;food;Jaja Giling;Bali;Bali;None
makanan;food;Jaja Wajik;Bali;Bali;None
makanan;food;Rujak Bulung;Bali;Bali;None
makanan;food;Rujak Kuah Pindang;Bali;Bali;None
makanan;food;Rujak Manis;Bali;Bali;None
makanan;food;Rujak Tibah;Bali;Bali;None
makanan;food;Salak Bali;Bali;Bali;None
makanan;food;Jaja Abug;Bali;Bali;None
makanan;food;Jaja Lempog;Bali;Bali;None
makanan;food;Jaja Baro-Baro;Bali;Bali;None
makanan;food;Binte Biluhuta;Gorontalo;Gorontalo;None
makanan;food;Ayam Iloni;Gorontalo;Gorontalo;None
makanan;food;Milu Tongkol;Gorontalo;Gorontalo;None
makanan;food;Gogu;Gorontalo;Gorontalo;None
makanan;food;Milu Tongkol dan Gogu;Gorontalo;Gorontalo;None
makanan;food;Nike;Gorontalo;Gorontalo;None
makanan;food;Tili Aya;Gorontalo;Gorontalo;None
makanan;food;Asinan Betawi;Jakarta;Jakarta;None
makanan;food;Soto Betawi;Jakarta;Jakarta;None
makanan;food;Gabus pucung;Jakarta;Jakarta;None
makanan;food;Sayur babanci;Jakarta;Jakarta;None
makanan;food;Sayur godog;Jakarta;Jakarta;None
makanan;food;Sayur besan;Jakarta;Jakarta;None
makanan;food;Ayam sampyok;Jakarta;Jakarta;None
makanan;food;Sambelan lengkio;Jakarta;Jakarta;None
makanan;food;Soto tangkar;Jakarta;Jakarta;None
makanan;food;Soto mie;Jakarta;Jakarta;None
makanan;food;Pecak tembang;Jakarta;Jakarta;None
makanan;food;Bandeng pesmol;Jakarta;Jakarta;None
makanan;food;Nasi kebuli;Jakarta;Jakarta;None
makanan;food;Nasi uduk;Jakarta;Jakarta;None
makanan;food;Nasi ulam;Jakarta;Jakarta;None
makanan;food;Es selendang mayang;Jakarta;Jakarta;None
makanan;food;Es goyang;Jakarta;Jakarta;None
makanan;food;Kue cucur;Jakarta;Jakarta;None
makanan;food;Kue rangi;Jakarta;Jakarta;None
makanan;food;Kue talam;Jakarta;Jakarta;None
makanan;food;Kue kelen;Jakarta;Jakarta;None
makanan;food;Sengkulun;Jakarta;Jakarta;None
makanan;food;Putu mayang;Jakarta;Jakarta;None
makanan;food;Andepite;Jakarta;Jakarta;None
makanan;food;Sagon;Jakarta;Jakarta;None
makanan;food;Kue ape;Jakarta;Jakarta;None
makanan;food;Kue cente manis;Jakarta;Jakarta;None
makanan;food;Kue pepe;Jakarta;Jakarta;None
makanan;food;Kue dongkal;Jakarta;Jakarta;None
makanan;food;Rujak penganten;Jakarta;Jakarta;None
makanan;food;Kerak telor;Jakarta;Jakarta;None
makanan;food;Kue geplak;Jakarta;Jakarta;None
makanan;food;Roti buaya;Jakarta;Jakarta;None
makanan;food;Kue kembang goyang;Jakarta;Jakarta;None
makanan;food;Dodol betawi;Jakarta;Jakarta;None
makanan;food;Bir pletok;Jakarta;Jakarta;None
makanan;food;Batagor;Jawa Barat;West Java;None
makanan;food;Cireng;Jawa Barat;West Java;None
makanan;food;Comro;Jawa Barat;West Java;None
makanan;food;Misro;Jawa Barat;West Java;None
makanan;food;Tape singkong;Jawa Barat;West Java;None
makanan;food;Oncom;Jawa Barat;West Java;None
makanan;food;Ubi Cilembu;Jawa Barat;West Java;None
makanan;food;Mochi;Jawa Barat;West Java;None
makanan;food;Dodol Garut;Jawa Barat;West Java;None
makanan;food;Empal Gentong;Jawa Barat;West Java;None
makanan;food;Sega Jamblang;Jawa Barat;West Java;None
makanan;food;Kecap Majalengka;Jawa Barat;West Java;None
makanan;food;Kalua Jeruk;Jawa Barat;West Java;None
makanan;food;Opak;Jawa Barat;West Java;None
makanan;food;Tahu Sumedang;Jawa Barat;West Java;None
makanan;food;Gula Cakar;Jawa Barat;West Java;None
makanan;food;Wajit;Jawa Barat;West Java;None
makanan;food;Rengginang;Jawa Barat;West Java;None
makanan;food;Combro;Jawa Barat;West Java;None
makanan;food;Sate Maranggi;Jawa Barat;West Java;None
makanan;food;Gehu;Jawa Barat;West Java;None
makanan;food;Cimol;Jawa Barat;West Java;None
makanan;food;Bala-Bala;Jawa Barat;West Java;None
makanan;food;Gulali;Jawa Barat;West Java;None
makanan;food;Sele Pisang;Jawa Barat;West Java;None
makanan;food;Asinan Bogor;Jawa Barat;West Java;None
makanan;food;Tutug Oncom;Jawa Barat;West Java;None
makanan;food;Manisan Cianjur;Jawa Barat;West Java;None
makanan;food;Angling;Jawa Barat;West Java;None
makanan;food;Hucap Kuningan;Jawa Barat;West Java;None
makanan;food;Adas;Jawa Barat;West Java;None
makanan;food;Papais Ada berbagai varian diantaranya Papais Biasa;Jawa Barat;West Java;None
makanan;food;Galendro Ampas Kelapa;Jawa Barat;West Java;None
makanan;food;Apeum;Jawa Barat;West Java;None
makanan;food;Ranginang;Jawa Barat;West Java;None
makanan;food;Gerejek;Jawa Barat;West Java;None
makanan;food;Simpring;Jawa Barat;West Java;None
makanan;food;Saroja;Jawa Barat;West Java;None
makanan;food;Sambel Beledak;Jawa Barat;West Java;None
makanan;food;Rujak;Jawa Barat;West Java;None
makanan;food;Lemang;Kalimantan Barat;West Kalimantan;None
makanan;food;Lemper;Kalimantan Barat;West Kalimantan;None
makanan;food;Lepat;Kalimantan Barat;West Kalimantan;None
makanan;food;Jimut;Kalimantan Barat;West Kalimantan;None
makanan;food;Lulun;Kalimantan Barat;West Kalimantan;None
makanan;food;Lempok;Kalimantan Barat;West Kalimantan;None
makanan;food;Tumpi;Kalimantan Barat;West Kalimantan;None
makanan;food;Tehpung;Kalimantan Barat;West Kalimantan;None
makanan;food;kue lapis berbagai macam serta kue keranjang;Kalimantan Barat;West Kalimantan;None
makanan;food;Masakan Asam Pedas;Kalimantan Barat;West Kalimantan;None
makanan;food;Masakan Bubur Pedas;Kalimantan Barat;West Kalimantan;None
makanan;food;Kerupok basah;Kalimantan Barat;West Kalimantan;None
makanan;food;Ale-ale;Kalimantan Barat;West Kalimantan;None
makanan;food;Pansoh;Kalimantan Barat;West Kalimantan;None
makanan;food;Mie Tiau;Kalimantan Barat;West Kalimantan;None
makanan;food;Nasi Ayam;Kalimantan Barat;West Kalimantan;None
makanan;food;Mie Pangsit;Kalimantan Barat;West Kalimantan;None
makanan;food;Nasi Ayam dan Mie Pangsit;Kalimantan Barat;West Kalimantan;None
makanan;food;Sungkui;Kalimantan Barat;West Kalimantan;None
makanan;food;Kue Biji Nangka;Sulawesi Selatan;South Sulawesi;None
makanan;food;Jagung;Jawa Timur;East Java;None
makanan;food;orang Madura;Jawa Timur;East Java;None
makanan;food;daerah Hulu Sungai Selatan;Kalimantan Selatan;South Borneo;None
makanan;food;apam;Kalimantan Selatan;South Borneo;None
makanan;food;kelepon buntut;Kalimantan Selatan;South Borneo;None
makanan;food;Binuang;Kalimantan Selatan;South Borneo;None
makanan;food;rimpi;Kalimantan Selatan;South Borneo;None
makanan;food;Soto Banjar;Kalimantan Selatan;South Borneo;None
makanan;food;Sate Itik;Kalimantan Selatan;South Borneo;None
makanan;food;Nasi Kuning;Kalimantan Selatan;South Borneo;None
makanan;food;Song Sui adalah;Kepulauan Bangka Belitung;Bangka Belitung Islands;None
makanan;food;Getas;Kepulauan Bangka Belitung;Bangka Belitung Islands;None
makanan;food;Kritcu;Kepulauan Bangka Belitung;Bangka Belitung Islands;None
makanan;food;Rusip;Kepulauan Bangka Belitung;Bangka Belitung Islands;None
makanan;food;Sagu;Papua Barat;West Papua;None
makanan;food;Papeda;Papua;Papua;None
makanan;food;rintek wuuk;Sulawesi Utara;North Sulawesi;None
makanan;food;RW;Sulawesi Utara;North Sulawesi;None
makanan;food;pindang;Sumatera Selatan;South Sumatra;None
makanan;food;didaerah Pakpak Dairi;Sumatera Utara;North Sumatra;None
makanan;food;Pelleng;Sumatera Utara;North Sumatra;None
makanan;food;tanah Batak;Sumatera Utara;North Sumatra;None
makanan;food;Manuk labakh;Aceh;Aceh;Kabupaten Aceh Tenggara
makanan;food;Ikan labakh;Aceh;Aceh;Kabupaten Aceh Tenggara
makanan;food;Puket Megaukh;Aceh;Aceh;Kabupaten Aceh Tenggara
makanan;food;Lepat bekhas;Aceh;Aceh;Kabupaten Aceh Tenggara
makanan;food;Gelame;Aceh;Aceh;Kabupaten Aceh Tenggara
makanan;food;Puket Megaluh;Aceh;Aceh;Kabupaten Aceh Tenggara
makanan;food;Buah Khum-khum;Aceh;Aceh;Kabupaten Aceh Tenggara
makanan;food;Ikan pacik kule;Aceh;Aceh;Kabupaten Aceh Tenggara
makanan;food;Teukh Mandi;Aceh;Aceh;Kabupaten Aceh Tenggara
makanan;food;Puket mekuah;Aceh;Aceh;Kabupaten Aceh Tenggara
makanan;food;Tumpi;Aceh;Aceh;Kabupaten Aceh Tenggara
makanan;food;godekhr;Aceh;Aceh;Kabupaten Aceh Tenggara
makanan;food;puket sekuning;Aceh;Aceh;Kabupaten Aceh Tenggara
makanan;food;cimpe;Aceh;Aceh;Kabupaten Aceh Tenggara
makanan;food;getuk;Aceh;Aceh;Kabupaten Aceh Tenggara
makanan;food;Sulukh Kosap;Aceh;Aceh;Kabupaten Aceh Tenggara
makanan;food;Bubuk Kopi;Aceh;Aceh;Kabupaten Pidie
